,NTT_Data,•xŽmƒtƒCƒ‹ƒ€‚g‚k‚c‚f,”C“V“°,“ú—§
2023-07-11,1920.5,8217.0,6257,8838
2023-07-10,1913.0,8271.0,6305,8842
2023-07-07,1923.0,8298.0,6351,8825
2023-07-06,1923.0,8493.0,6314,8964
2023-07-05,1958.5,8608.0,6512,8992
2023-07-04,1987.0,8573.0,6519,8982
2023-07-03,2003.5,8704.0,6587,9051
2023-06-30,2007.0,8541.0,6542,8896
2023-06-29,2001.5,8618.0,6582,8940
2023-06-28,1989.0,8539.0,6520,8914
2023-06-27,1960.0,8497.0,6392,8713
2023-06-26,1977.5,8542.0,6289,8692
2023-06-23,2002.5,8487.0,6230,8700
2023-06-22,2058.5,8634.0,6318,8930
2023-06-21,2072.0,8631.0,6212,8829
2023-06-20,2080.0,8636.0,6242,8747
2023-06-19,2123.5,8767.0,6232,8823
2023-06-16,2135.5,8778.0,6266,8895
2023-06-15,2108.0,8813.0,6225,8908
2023-06-14,2134.0,8827.0,6157,8928
2023-06-13,2068.5,8799.0,6181,8737
2023-06-12,2059.0,8776.0,6126,8684
2023-06-09,2048.5,8731.0,6098,8666
2023-06-08,1978.5,8639.0,5983,8475
2023-06-07,2031.0,8713.0,6053,8503
2023-06-06,2042.0,8861.0,6120,8616
2023-06-05,2042.5,8807.0,6083,8553
2023-06-02,2021.0,8765.0,6050,8297
2023-06-01,2007.0,8582.0,5954,8037
2023-05-31,1997.0,8533.0,5936,8046
2023-05-30,2026.0,8539.0,5990,8154
2023-05-29,2001.0,8529.0,5909,8129
2023-05-26,1982.0,8409.0,5943,8181
2023-05-25,1989.0,8365.0,5876,8057
2023-05-24,2017.0,8294.0,5930,8086
2023-05-23,2022.0,8282.0,5988,8176
2023-05-22,1983.0,8294.0,6060,8258
2023-05-19,1957.0,8241.0,5977,8301
2023-05-18,1949.0,8054.0,6043,8285
2023-05-17,1923.0,7947.0,5925,8099
2023-05-16,1918.0,7950.0,5847,8077
2023-05-15,1920.0,7779.0,5800,7970
2023-05-12,1911.0,7710.0,5758,7848
2023-05-11,1895.0,7659.0,5631,7814
2023-05-10,1878.0,7234.0,5725,7803
2023-05-09,1885.0,7273.0,5730,7897
2023-05-08,1862.0,7200.0,5739,7812
2023-05-02,1882.0,7156.0,5693,7735
2023-05-01,1874.0,7125.0,5691,7780
2023-04-28,1839.0,7060.0,5721,7485
2023-04-27,1829.0,6920.0,5628,7646
2023-04-26,1823.0,6900.0,5618,7586
2023-04-25,1845.0,6918.0,5649,7717
2023-04-24,1850.0,6910.0,5591,7776
2023-04-21,1830.0,6851.0,5520,7728
2023-04-20,1845.0,6851.0,5516,7683
2023-04-19,1847.0,6849.0,5542,7652
2023-04-18,1846.0,6851.0,5560,7594
2023-04-17,1812.0,6833.0,5457,7500
2023-04-14,1818.0,6803.0,5467,7407
2023-04-13,1798.0,6758.0,5379,7305
2023-04-12,1803.0,6771.0,5466,7357
2023-04-11,1809.0,6679.0,5413,7300
2023-04-10,1788.0,6605.0,5406,7300
2023-04-07,1776.0,6601.0,5198,7198
2023-04-06,1777.0,6605.0,5250,7171
2023-04-05,1784.0,6643.0,5245,7176
2023-04-04,1767.0,6711.0,5412,7442
2023-04-03,1770.0,6758.0,5173,7359
2023-03-31,1732.0,6698.0,5131,7252
2023-03-30,1737.0,6621.0,5079,7242
2023-03-29,1741.0,6598.0,5179,7254
2023-03-28,1726.0,6545.0,5083,7137
2023-03-27,1711.0,6493.0,5095,6990
2023-03-24,1699.0,6480.0,5058,6849
2023-03-23,1706.0,6500.0,5076,6863
2023-03-22,1710.0,6530.0,5080,6872
2023-03-20,1691.0,6441.0,5033,6783
2023-03-17,1701.0,6458.0,5144,6845
2023-03-16,1669.0,6368.0,5075,6627
2023-03-15,1701.0,6417.0,5082,6771
2023-03-14,1719.0,6356.0,5065,6675
2023-03-13,1777.0,6490.0,5129,6888
2023-03-10,1787.0,6500.0,5148,7050
2023-03-09,1813.0,6610.0,5227,7188
2023-03-08,1815.0,6642.0,5158,7199
2023-03-07,1825.0,6605.0,5177,7198
2023-03-06,1817.0,6549.0,5178,7172
2023-03-03,1813.0,6480.0,5158,7065
2023-03-02,1818.0,6416.0,5136,6965
2023-03-01,1872.0,6344.0,5122,6979
2023-02-28,1890.0,6354.0,5124,6890
2023-02-27,1861.0,6388.0,5198,6884
2023-02-24,1866.0,6388.0,5297,6844
2023-02-22,1845.0,6327.0,5312,6767
2023-02-21,1883.0,6367.0,5412,7003
2023-02-20,1883.0,6419.0,5464,7050
2023-02-17,1876.0,6399.0,5456,6988
2023-02-16,1894.0,6455.0,5498,7000
2023-02-15,1902.0,6480.0,5336,6931
2023-02-14,1945.0,6554.0,5328,6954
2023-02-13,1947.0,6532.0,5224,6988
2023-02-10,1975.0,6560.0,5307,7024
2023-02-09,2130.0,6672.0,5279,7043
2023-02-08,2014.0,6835.0,5201,7018
2023-02-07,1986.0,6884.0,5624,7017
2023-02-06,1997.0,6868.0,5621,7002
2023-02-03,2006.0,6839.0,5622,6906
2023-02-02,1982.0,6797.0,5582,7007
2023-02-01,1991.0,6790.0,5580,6706
2023-01-31,2003.0,6836.0,5625,6782
2023-01-30,2021.0,6890.0,5598,6803
2023-01-27,2012.0,6903.0,5630,6911
2023-01-26,2014.0,6920.0,5635,6919
2023-01-25,2003.0,6920.0,5574,6917
2023-01-24,2004.0,6895.0,5556,6870
2023-01-23,1954.0,6753.0,5535,6717
2023-01-20,1928.0,6709.0,5510,6643
2023-01-19,1922.0,6687.0,5535,6536
2023-01-18,1945.0,6749.0,5608,6656
2023-01-17,1888.0,6610.0,5490,6458
