,NTT_Data,ïxémÉtÉCÉãÉÄÇgÇkÇcÇf,îCìVì∞,É\ÉjÅ[
2023-10-11,1901.0,8788,6309,12705
2023-10-10,1966.0,8763,6311,12605
2023-10-06,1926.0,8530,6245,12260
2023-10-05,1916.0,8479,6220,12320
2023-10-04,1877.0,8338,6108,12110
2023-10-03,1991.0,8479,6160,12260
2023-10-02,2010.0,8649,6130,12205
2023-09-29,2004.5,8658,6230,12240
2023-09-28,2014.0,8652,6152,12225
2023-09-27,2047.0,8812,6225,12405
2023-09-26,2037.0,8782,6260,12270
2023-09-25,2112.5,8909,6224,12390
2023-09-22,2101.0,8847,6151,12200
2023-09-21,2101.0,8819,6153,12320
2023-09-20,2125.0,8953,6266,12600
2023-09-19,2157.0,9113,6451,12805
2023-09-15,2165.5,9153,6338,12930
2023-09-14,2160.5,9085,6354,12645
2023-09-13,2090.5,8930,6309,12445
2023-09-12,2065.5,8836,6369,12615
2023-09-11,1997.0,8776,6370,12465
2023-09-08,1972.5,8770,6358,12375
2023-09-07,1986.5,8731,6368,12630
2023-09-06,1978.0,8825,6323,12690
2023-09-05,1976.5,8800,6274,12480
2023-09-04,1982.0,8705,6267,12515
2023-09-01,1969.0,8626,6268,12535
2023-08-31,1961.0,8614,6267,12145
2023-08-30,1952.5,8528,6219,12035
2023-08-29,1919.5,8503,6172,11950
2023-08-28,1912.5,8561,6175,12000
2023-08-25,1881.5,8441,6083,11860
2023-08-24,1908.0,8492,6145,12015
2023-08-23,1888.0,8356,6211,12050
2023-08-22,1861.5,8295,6159,12065
2023-08-21,1849.0,8175,6128,12000
2023-08-18,1846.0,8130,6114,12015
2023-08-17,1844.5,8202,6180,12130
2023-08-16,1833.0,8308,6292,12010
2023-08-15,1881.0,8341,6294,12220
2023-08-14,1848.5,8263,6248,12175
2023-08-10,1864.0,8488,6251,12565
2023-08-09,1816.5,7946,6145,12985
2023-08-08,1948.5,7980,6159,12975
2023-08-07,1936.0,8012,6232,12915
2023-08-04,1933.0,7964,6172,12925
2023-08-03,1930.0,8007,6357,12935
2023-08-02,1927.0,8232,6355,13235
2023-08-01,1955.0,8300,6459,13480
2023-07-31,1975.5,8247,6450,13315
2023-07-28,1943.0,8022,6354,13040
2023-07-27,1961.0,8165,6376,13210
2023-07-26,1972.0,8191,6300,13160
2023-07-25,1965.5,8134,6443,13155
2023-07-24,1955.5,8187,6511,13265
2023-07-21,1942.5,8211,6418,13115
2023-07-20,1951.5,8161,6426,13075
2023-07-19,1971.0,8294,6433,13255
2023-07-18,1935.5,8219,6360,13200
2023-07-14,1940.0,8149,6389,12870
2023-07-13,1949.5,8183,6424,13010
2023-07-12,1916.0,8209,6300,12450
2023-07-11,1920.5,8217,6257,12675
2023-07-10,1913.0,8271,6305,12830
2023-07-07,1923.0,8298,6351,13005
2023-07-06,1923.0,8493,6314,13145
2023-07-05,1958.5,8608,6512,13310
2023-07-04,1987.0,8573,6519,13195
2023-07-03,2003.5,8704,6587,13330
2023-06-30,2007.0,8541,6542,12965
2023-06-29,2001.5,8618,6582,13050
2023-06-28,1989.0,8539,6520,13160
2023-06-27,1960.0,8497,6392,12830
2023-06-26,1977.5,8542,6289,12990
2023-06-23,2002.5,8487,6230,13040
2023-06-22,2058.5,8634,6318,13300
2023-06-21,2072.0,8631,6212,13470
2023-06-20,2080.0,8636,6242,13735
2023-06-19,2123.5,8767,6232,13670
2023-06-16,2135.5,8778,6266,13765
2023-06-15,2108.0,8813,6225,13950
